Accession (Identificador),Begin (Inicio de la trasnscripción),End (final de la transcripción),Orientation,Name (Alias),Symbol,Gene Type,Protein accession (Posible identificador de la proteína),Protein name (Product),Protein length,Locus tag
NZ_CP009124.1,3770990,3771286,minus,DUF4031 domain-containing protein,,protein-coding,WP_003974664.1,DUF4031 domain-containing protein,98,SLIV_RS16875
NZ_CP009124.1,3771297,3771677,minus,hypothetical protein,,protein-coding,WP_003974665.1,hypothetical protein,126,SLIV_RS16880
NZ_CP009124.1,3771733,3772722,plus,MurR/RpiR family transcriptional regulator,,protein-coding,WP_016326865.1,MurR/RpiR family transcriptional regulator,329,SLIV_RS16885
NZ_CP009124.1,3772821,3773756,plus,N-acetylmuramic acid 6-phosphate etherase,murQ,protein-coding,WP_003974667.1,N-acetylmuramic acid 6-phosphate etherase,311,SLIV_RS16890
NZ_CP009124.1,3773824,3774393,plus,hypothetical protein,,protein-coding,WP_011029569.1,hypothetical protein,189,SLIV_RS16895
NZ_CP009124.1,3774395,3774988,plus,TetR/AcrR family transcriptional regulator,,protein-coding,WP_003974669.1,TetR/AcrR family transcriptional regulator,197,SLIV_RS16900
NZ_CP009124.1,3775002,3775751,minus,SDR family NAD(P)-dependent oxidoreductase,,protein-coding,WP_003974670.1,SDR family NAD(P)-dependent oxidoreductase,249,SLIV_RS16905
NZ_CP009124.1,3775846,3776454,plus,TetR/AcrR family transcriptional regulator,,protein-coding,WP_003974671.1,TetR/AcrR family transcriptional regulator,202,SLIV_RS16910
NZ_CP009124.1,3776465,3776854,minus,hypothetical protein,,protein-coding,WP_003974672.1,hypothetical protein,129,SLIV_RS16915
NZ_CP009124.1,3776973,3777812,plus,helix-turn-helix domain-containing protein,,protein-coding,WP_003974673.1,helix-turn-helix domain-containing protein,279,SLIV_RS16920
NZ_CP009124.1,3777796,3778065,plus,DUF397 domain-containing protein,,protein-coding,WP_003974674.1,DUF397 domain-containing protein,89,SLIV_RS16925
NZ_CP009124.1,3778028,3778375,minus,hypothetical protein,,protein-coding,WP_003974675.1,hypothetical protein,115,SLIV_RS16930
NZ_CP009124.1,3778372,3779913,minus,carboxylesterase/lipase family protein,,protein-coding,WP_037666465.1,carboxylesterase/lipase family protein,513,SLIV_RS16935
NZ_CP009124.1,3779947,3781077,minus,NADH:flavin oxidoreductase,,protein-coding,WP_003974677.1,NADH:flavin oxidoreductase,376,SLIV_RS16940
NZ_CP009124.1,3781328,3782953,minus,chaperonin GroEL,groL,protein-coding,WP_003974678.1,chaperonin GroEL,541,SLIV_RS16945
NZ_CP009124.1,3783281,3783484,minus,cold-shock protein,,protein-coding,WP_004929928.1,cold-shock protein,67,SLIV_RS16950
NZ_CP009124.1,3783903,3784178,minus,MoaD/ThiS family protein,,protein-coding,WP_003974680.1,MoaD/ThiS family protein,91,SLIV_RS16955
NZ_CP009124.1,3784175,3785467,minus,threonine synthase,thrC,protein-coding,WP_037666466.1,threonine synthase,430,SLIV_RS16960
NZ_CP009124.1,3785785,3786729,plus,glucosyl-3-phosphoglycerate synthase,,protein-coding,WP_003974682.1,glucosyl-3-phosphoglycerate synthase,314,SLIV_RS16965
NZ_CP009124.1,3786753,3787454,minus,hypothetical protein,,protein-coding,WP_003974683.1,hypothetical protein,233,SLIV_RS16970
NZ_CP009124.1,3787601,3788989,plus,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)",,protein-coding,WP_038534557.1,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)",462,SLIV_RS16975
NZ_CP009124.1,3788996,3789472,minus,hypothetical protein,,protein-coding,WP_003974685.1,hypothetical protein,158,SLIV_RS16980
NZ_CP009124.1,3789612,3790484,minus,trehalose-phosphatase,otsB,protein-coding,WP_003974686.1,trehalose-phosphatase,290,SLIV_RS16985
NZ_CP009124.1,3790855,3791088,minus,DUF3263 domain-containing protein,,protein-coding,WP_037666469.1,DUF3263 domain-containing protein,77,SLIV_RS16990
NZ_CP009124.1,3791125,3792342,minus,extracellular solute-binding protein,,protein-coding,WP_401695095.1,extracellular solute-binding protein,405,SLIV_RS16995
NZ_CP009124.1,3792499,3793500,plus,ROK family protein,,protein-coding,WP_079021169.1,ROK family protein,333,SLIV_RS17000
NZ_CP009124.1,3793500,3794645,plus,N-acetylglucosamine-6-phosphate deacetylase,nagA,protein-coding,WP_003974690.1,N-acetylglucosamine-6-phosphate deacetylase,381,SLIV_RS17005
NZ_CP009124.1,3794768,3795700,plus,1-phosphofructokinase family hexose kinase,,protein-coding,WP_038535625.1,1-phosphofructokinase family hexose kinase,310,SLIV_RS17010
NZ_CP009124.1,3795751,3796725,minus,CBM35 domain-containing protein,,protein-coding,WP_003974693.1,CBM35 domain-containing protein,324,SLIV_RS17015
NZ_CP009124.1,3796846,3798507,minus,diguanylate cyclase CdgB,cdgB,protein-coding,WP_016326851.1,diguanylate cyclase CdgB,553,SLIV_RS17020
NZ_CP009124.1,3798843,3799451,plus,flavin reductase family protein,,protein-coding,WP_003974695.1,flavin reductase family protein,202,SLIV_RS17025
NZ_CP009124.1,3799502,3799972,plus,GNAT family N-acetyltransferase,,protein-coding,WP_003974696.1,GNAT family N-acetyltransferase,156,SLIV_RS17030
NZ_CP009124.1,3799991,3800428,minus,alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB,arfB,protein-coding,WP_003974697.1,alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB,145,SLIV_RS17035
NZ_CP009124.1,3800586,3801161,plus,TerD family protein,,protein-coding,WP_003974698.1,TerD family protein,191,SLIV_RS17040
NZ_CP009124.1,3801272,3801943,minus,response regulator,,protein-coding,WP_003974699.1,response regulator,223,SLIV_RS17045
NZ_CP009124.1,3801940,3803226,minus,sensor histidine kinase,,protein-coding,WP_016326849.1,sensor histidine kinase,428,SLIV_RS17050
NZ_CP009124.1,3803477,3804046,plus,GlcG/HbpS family heme-binding protein,,protein-coding,WP_003974701.1,GlcG/HbpS family heme-binding protein,189,SLIV_RS17055
NZ_CP009124.1,3804128,3805549,plus,M1 family metallopeptidase,,protein-coding,WP_003974702.1,M1 family metallopeptidase,473,SLIV_RS17060
NZ_CP009124.1,3805574,3806545,minus,GNAT family N-acetyltransferase,,protein-coding,WP_003974703.1,GNAT family N-acetyltransferase,323,SLIV_RS17065
NZ_CP009124.1,3806555,3807691,minus,NAD(P)-dependent alcohol dehydrogenase,,protein-coding,WP_003974704.1,NAD(P)-dependent alcohol dehydrogenase,378,SLIV_RS17070
NZ_CP009124.1,3807807,3808406,plus,TetR family transcriptional regulator,,protein-coding,WP_016326847.1,TetR family transcriptional regulator,199,SLIV_RS17075
NZ_CP009124.1,3808590,3809090,plus,hypothetical protein,,protein-coding,WP_003974706.1,hypothetical protein,166,SLIV_RS17080
NZ_CP009124.1,3809102,3809806,minus,pentapeptide repeat-containing protein,,protein-coding,WP_016326845.1,pentapeptide repeat-containing protein,234,SLIV_RS17085
NZ_CP009124.1,3809971,3811131,plus,NAD(P)-binding protein,,protein-coding,WP_003974708.1,NAD(P)-binding protein,386,SLIV_RS17090
NZ_CP009124.1,3811183,3812163,plus,zinc-binding dehydrogenase,,protein-coding,WP_003974709.1,zinc-binding dehydrogenase,326,SLIV_RS17095
NZ_CP009124.1,3812243,3813754,plus,MFS transporter,,protein-coding,WP_003974710.1,MFS transporter,503,SLIV_RS17100
NZ_CP009124.1,3813804,3814685,plus,aminoglycoside phosphotransferase family protein,,protein-coding,WP_003974711.1,aminoglycoside phosphotransferase family protein,293,SLIV_RS17105
NZ_CP009124.1,3814711,3818316,minus,helix-turn-helix transcriptional regulator,,protein-coding,WP_016326842.1,helix-turn-helix transcriptional regulator,1201,SLIV_RS17110
NZ_CP009124.1,3818626,3819327,plus,helix-turn-helix transcriptional regulator,,protein-coding,WP_003974713.1,helix-turn-helix transcriptional regulator,233,SLIV_RS17120
NZ_CP009124.1,3819521,3820198,plus,DUF4255 domain-containing protein,,protein-coding,WP_003974715.1,DUF4255 domain-containing protein,225,SLIV_RS17125
NZ_CP009124.1,3820204,3822276,plus,ATP-binding protein,,protein-coding,WP_016326840.1,ATP-binding protein,690,SLIV_RS17130
NZ_CP009124.1,3822301,3823758,minus,RICIN domain-containing protein,,protein-coding,WP_011029536.1,RICIN domain-containing protein,485,SLIV_RS17135
NZ_CP009124.1,3823857,3825299,minus,RICIN domain-containing protein,,protein-coding,WP_011029535.1,RICIN domain-containing protein,480,SLIV_RS17140
NZ_CP009124.1,3825390,3826121,minus,DUF4157 domain-containing protein,,protein-coding,WP_016326837.1,DUF4157 domain-containing protein,243,SLIV_RS17145
NZ_CP009124.1,3826256,3829126,minus,hypothetical protein,,protein-coding,WP_003974721.1,hypothetical protein,956,SLIV_RS17150
NZ_CP009124.1,3829456,3831060,plus,phage tail sheath subtilisin-like domain-containing protein,,protein-coding,WP_003974722.1,phage tail sheath subtilisin-like domain-containing protein,534,SLIV_RS17155
NZ_CP009124.1,3831113,3831562,plus,phage tail protein,,protein-coding,WP_003974723.1,phage tail protein,149,SLIV_RS17160
NZ_CP009124.1,3831562,3832095,plus,hypothetical protein,,protein-coding,WP_003974724.1,hypothetical protein,177,SLIV_RS17165
NZ_CP009124.1,3832092,3832250,plus,DUF6760 family protein,,protein-coding,WP_007450918.1,DUF6760 family protein,52,SLIV_RS41030
NZ_CP009124.1,3835521,3836369,plus,hypothetical protein,,protein-coding,WP_016326833.1,hypothetical protein,282,SLIV_RS39995
NZ_CP009124.1,3836459,3836881,plus,phage tail protein,,protein-coding,WP_003974727.1,phage tail protein,140,SLIV_RS17180
NZ_CP009124.1,3836910,3837632,plus,LysM peptidoglycan-binding domain-containing protein,,protein-coding,WP_003974728.1,LysM peptidoglycan-binding domain-containing protein,240,SLIV_RS17185
NZ_CP009124.1,3837632,3839566,plus,VgrG-related protein,,protein-coding,WP_016326832.1,VgrG-related protein,644,SLIV_RS17190
NZ_CP009124.1,3839601,3840053,plus,GPW/gp25 family protein,,protein-coding,WP_003974730.1,GPW/gp25 family protein,150,SLIV_RS17195
NZ_CP009124.1,3840053,3842011,plus,putative baseplate assembly protein,,protein-coding,WP_003974731.1,putative baseplate assembly protein,652,SLIV_RS17200
NZ_CP009124.1,3842071,3842580,plus,phage tail protein,,protein-coding,WP_173668821.1,phage tail protein,169,SLIV_RS17205
NZ_CP009124.1,3842577,3843983,plus,zinc ribbon domain-containing protein,,protein-coding,WP_003974733.1,zinc ribbon domain-containing protein,468,SLIV_RS17210
NZ_CP009124.1,3844102,3845739,plus,alpha/beta hydrolase,,protein-coding,WP_003974734.1,alpha/beta hydrolase,545,SLIV_RS17215
NZ_CP009124.1,3845806,3845879,minus,tRNA-Thr,,tRNA,,,,SLIV_RS17220
NZ_CP009124.1,3846099,3847235,plus,diacetylchitobiose ABC transporter ATP-binding protein MsiK,msiK,protein-coding,WP_011029527.1,diacetylchitobiose ABC transporter ATP-binding protein MsiK,378,SLIV_RS17225
NZ_CP009124.1,3847458,3847904,plus,membrane protein,,protein-coding,WP_011029526.1,membrane protein,148,SLIV_RS17230
NZ_CP009124.1,3847946,3848683,plus,nucleotidyltransferase family protein,,protein-coding,WP_003974737.1,nucleotidyltransferase family protein,245,SLIV_RS17235
NZ_CP009124.1,3848772,3850493,minus,DoxX family membrane protein,,protein-coding,WP_063739108.1,DoxX family membrane protein,573,SLIV_RS17240
NZ_CP009124.1,3850611,3851555,minus,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,rlmB,protein-coding,WP_003974739.1,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,314,SLIV_RS17245
NZ_CP009124.1,3851688,3853088,minus,cysteine--tRNA ligase,cysS,protein-coding,WP_030868385.1,cysteine--tRNA ligase,466,SLIV_RS17250
NZ_CP009124.1,3853498,3854010,minus,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",ispF,protein-coding,WP_003974741.1,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",170,SLIV_RS17255
NZ_CP009124.1,3854000,3854812,minus,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,ispD,protein-coding,WP_003974742.1,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,270,SLIV_RS17260
NZ_CP009124.1,3855128,3855610,minus,CarD family transcriptional regulator,,protein-coding,WP_003953493.1,CarD family transcriptional regulator,160,SLIV_RS17265
NZ_CP009124.1,3856312,3857043,plus,hypothetical protein,,protein-coding,WP_003974744.1,hypothetical protein,243,SLIV_RS17270
NZ_CP009124.1,3857204,3857884,minus,response regulator transcription factor,,protein-coding,WP_003974745.1,response regulator transcription factor,226,SLIV_RS17275
NZ_CP009124.1,3857881,3859161,minus,sensor histidine kinase,,protein-coding,WP_003974746.1,sensor histidine kinase,426,SLIV_RS17280
NZ_CP009124.1,3859376,3860065,plus,phosphate signaling complex protein PhoU,phoU,protein-coding,WP_003974747.1,phosphate signaling complex protein PhoU,229,SLIV_RS17285
NZ_CP009124.1,3860236,3860391,plus,hypothetical protein,,protein-coding,WP_164883312.1,hypothetical protein,51,SLIV_RS40270
NZ_CP009124.1,3860519,3860767,plus,SCO4226 family nickel-binding protein,,protein-coding,WP_030868395.1,SCO4226 family nickel-binding protein,82,SLIV_RS17290
NZ_CP009124.1,3860903,3861295,plus,SCO4225 family membrane protein,,protein-coding,WP_003974750.1,SCO4225 family membrane protein,130,SLIV_RS17295
NZ_CP009124.1,3861380,3862645,plus,lanthionine synthetase LanC family protein,,protein-coding,WP_003974751.1,lanthionine synthetase LanC family protein,421,SLIV_RS17300
NZ_CP009124.1,3862735,3863604,plus,AraC family transcriptional regulator,,protein-coding,WP_003974752.1,AraC family transcriptional regulator,289,SLIV_RS17305
NZ_CP009124.1,3863632,3864012,minus,VOC family protein,,protein-coding,WP_003974753.1,VOC family protein,126,SLIV_RS17310
NZ_CP009124.1,3864121,3864531,plus,hypothetical protein,,protein-coding,WP_003974754.1,hypothetical protein,136,SLIV_RS17315
NZ_CP009124.1,3864598,3865017,plus,VOC family protein,,protein-coding,WP_016326822.1,VOC family protein,139,SLIV_RS17320
NZ_CP009124.1,3865204,3865971,minus,dienelactone hydrolase family protein,,protein-coding,WP_003974756.1,dienelactone hydrolase family protein,255,SLIV_RS17325
NZ_CP009124.1,3866199,3866390,minus,DUF6381 family protein,,protein-coding,WP_003974757.1,DUF6381 family protein,63,SLIV_RS17330
NZ_CP009124.1,3866549,3867433,plus,MOSC domain-containing protein,,protein-coding,WP_003974758.1,MOSC domain-containing protein,294,SLIV_RS17335
NZ_CP009124.1,3867569,3867778,plus,hypothetical protein,,protein-coding,WP_003974759.1,hypothetical protein,69,SLIV_RS17340
NZ_CP009124.1,3867841,3868599,minus,GntR family transcriptional regulator,,protein-coding,WP_003974760.1,GntR family transcriptional regulator,252,SLIV_RS17345
NZ_CP009124.1,3868932,3869372,plus,uncharacterized gene,,pseudogene,,,,SLIV_RS17350
NZ_CP009124.1,3869462,3870223,minus,phosphoglyceromutase,,protein-coding,WP_003974762.1,phosphoglyceromutase,253,SLIV_RS17355
NZ_CP009124.1,3870385,3871674,plus,MDR family MFS transporter,,protein-coding,WP_003974763.1,MDR family MFS transporter,429,SLIV_RS17360
NZ_CP009124.1,3871772,3872239,minus,DUF2000 domain-containing protein,,protein-coding,WP_003974764.1,DUF2000 domain-containing protein,155,SLIV_RS17365
NZ_CP009124.1,3872289,3873104,plus,AraC family transcriptional regulator,,protein-coding,WP_016326819.1,AraC family transcriptional regulator,271,SLIV_RS17370
NZ_CP009124.1,3873133,3873639,minus,YbjN domain-containing protein,,protein-coding,WP_003974766.1,YbjN domain-containing protein,168,SLIV_RS17375
NZ_CP009124.1,3873632,3875005,minus,D-inositol-3-phosphate glycosyltransferase,mshA,protein-coding,WP_016326818.1,D-inositol-3-phosphate glycosyltransferase,457,SLIV_RS17380
NZ_CP009124.1,3875270,3876085,plus,hypothetical protein,,protein-coding,WP_003974768.1,hypothetical protein,271,SLIV_RS17385
NZ_CP009124.1,3876283,3877443,plus,C40 family peptidase,,protein-coding,WP_079021171.1,C40 family peptidase,386,SLIV_RS17390
NZ_CP009124.1,3877715,3879226,plus,PP2C family protein-serine/threonine phosphatase,,protein-coding,WP_003974770.1,PP2C family protein-serine/threonine phosphatase,503,SLIV_RS17395
NZ_CP009124.1,3879294,3879629,minus,DUF2516 family protein,,protein-coding,WP_030868443.1,DUF2516 family protein,111,SLIV_RS17400
NZ_CP009124.1,3879743,3880384,minus,hypothetical protein,,protein-coding,WP_003974772.1,hypothetical protein,213,SLIV_RS17405
NZ_CP009124.1,3880407,3880832,minus,helix-turn-helix domain-containing protein,,protein-coding,WP_011029496.1,helix-turn-helix domain-containing protein,141,SLIV_RS17410
NZ_CP009124.1,3881147,3881614,minus,MarR family winged helix-turn-helix transcriptional regulator,,protein-coding,WP_003974774.1,MarR family winged helix-turn-helix transcriptional regulator,155,SLIV_RS17415
NZ_CP009124.1,3881716,3882930,plus,metal-dependent hydrolase family protein,,protein-coding,WP_016326813.1,metal-dependent hydrolase family protein,404,SLIV_RS17420
NZ_CP009124.1,3882988,3885030,minus,HelD family protein,,protein-coding,WP_079021172.1,HelD family protein,680,SLIV_RS17425
NZ_CP009124.1,3885063,3885686,minus,TetR family transcriptional regulator,,protein-coding,WP_003974777.1,TetR family transcriptional regulator,207,SLIV_RS17430
NZ_CP009124.1,3885697,3886665,minus,hypothetical protein,,protein-coding,WP_016326812.1,hypothetical protein,322,SLIV_RS17435
NZ_CP009124.1,3886783,3887859,minus,phosphotransferase family protein,,protein-coding,WP_003974779.1,phosphotransferase family protein,358,SLIV_RS17440
NZ_CP009124.1,3887921,3888742,minus,HAD family hydrolase,,protein-coding,WP_003974780.1,HAD family hydrolase,273,SLIV_RS17445
NZ_CP009124.1,3888691,3889566,minus,winged helix-turn-helix domain-containing protein,,protein-coding,WP_003974781.1,winged helix-turn-helix domain-containing protein,291,SLIV_RS17450
NZ_CP009124.1,3889707,3889895,plus,hypothetical protein,,protein-coding,WP_011029490.1,hypothetical protein,62,SLIV_RS17455
NZ_CP009124.1,3889905,3890816,minus,FadR/GntR family transcriptional regulator,,protein-coding,WP_011029489.1,FadR/GntR family transcriptional regulator,303,SLIV_RS17460
NZ_CP009124.1,3890970,3891155,plus,hypothetical protein,,protein-coding,WP_003974784.1,hypothetical protein,61,SLIV_RS17465
NZ_CP009124.1,3891331,3892587,minus,GNAT family N-acetyltransferase,,protein-coding,WP_003974785.1,GNAT family N-acetyltransferase,418,SLIV_RS17470
NZ_CP009124.1,3892706,3893716,minus,asparaginase,,protein-coding,WP_003974786.1,asparaginase,336,SLIV_RS17475
NZ_CP009124.1,3893833,3894501,minus,aerial mycelium formation protein,,protein-coding,WP_011029488.1,aerial mycelium formation protein,222,SLIV_RS17480
NZ_CP009124.1,3894680,3895105,plus,D-aminoacyl-tRNA deacylase,dtd,protein-coding,WP_003974788.1,D-aminoacyl-tRNA deacylase,141,SLIV_RS17485
NZ_CP009124.1,3895132,3896097,minus,YgfZ/GcvT domain-containing protein,,protein-coding,WP_003974789.1,YgfZ/GcvT domain-containing protein,321,SLIV_RS17490
NZ_CP009124.1,3896118,3896555,minus,Fur family transcriptional regulator,,protein-coding,WP_003974790.1,Fur family transcriptional regulator,145,SLIV_RS17495
NZ_CP009124.1,3896571,3897146,minus,FABP family protein,,protein-coding,WP_003974791.1,FABP family protein,191,SLIV_RS17500
NZ_CP009124.1,3897318,3897611,minus,DUF397 domain-containing protein,,protein-coding,WP_003974793.1,DUF397 domain-containing protein,97,SLIV_RS17510
NZ_CP009124.1,3897593,3898435,minus,helix-turn-helix domain-containing protein,,protein-coding,WP_003974794.1,helix-turn-helix domain-containing protein,280,SLIV_RS17515
NZ_CP009124.1,3898607,3898999,plus,hypothetical protein,,protein-coding,WP_003974795.1,hypothetical protein,130,SLIV_RS17520
NZ_CP009124.1,3898996,3899247,plus,hypothetical protein,,protein-coding,WP_003974796.1,hypothetical protein,83,SLIV_RS17525
NZ_CP009124.1,3899276,3899638,plus,DsrE family protein,,protein-coding,WP_003974797.1,DsrE family protein,120,SLIV_RS17530
NZ_CP009124.1,3899658,3900542,minus,hypothetical protein,,protein-coding,WP_003974798.1,hypothetical protein,294,SLIV_RS17535
NZ_CP009124.1,3900539,3901294,minus,hypothetical protein,,protein-coding,WP_003974799.1,hypothetical protein,251,SLIV_RS17540
NZ_CP009124.1,3901291,3902148,minus,hypothetical protein,,protein-coding,WP_003974800.1,hypothetical protein,285,SLIV_RS17545
NZ_CP009124.1,3902261,3903025,minus,glucose 1-dehydrogenase,,protein-coding,WP_003974801.1,glucose 1-dehydrogenase,254,SLIV_RS17550
NZ_CP009124.1,3903066,3903860,minus,SDR family NAD(P)-dependent oxidoreductase,,protein-coding,WP_016326803.1,SDR family NAD(P)-dependent oxidoreductase,264,SLIV_RS17555
NZ_CP009124.1,3903951,3904583,plus,TetR family transcriptional regulator,,protein-coding,WP_003974803.1,TetR family transcriptional regulator,210,SLIV_RS17560
NZ_CP009124.1,3904612,3904869,minus,DUF3099 domain-containing protein,,protein-coding,WP_016326801.1,DUF3099 domain-containing protein,85,SLIV_RS17565
NZ_CP009124.1,3904970,3905257,minus,DUF1416 domain-containing protein,,protein-coding,WP_003974805.1,DUF1416 domain-containing protein,95,SLIV_RS17570
NZ_CP009124.1,3905291,3906136,minus,sulfurtransferase,,protein-coding,WP_003974806.1,sulfurtransferase,281,SLIV_RS17575
NZ_CP009124.1,3906570,3907307,minus,LmeA family phospholipid-binding protein,,protein-coding,WP_003974808.1,LmeA family phospholipid-binding protein,245,SLIV_RS17580
NZ_CP009124.1,3907464,3908753,minus,hypothetical protein,,protein-coding,WP_003974809.1,hypothetical protein,429,SLIV_RS17585
NZ_CP009124.1,3908757,3909011,minus,MoaD/ThiS family protein,,protein-coding,WP_003974810.1,MoaD/ThiS family protein,84,SLIV_RS17590
NZ_CP009124.1,3909048,3909908,minus,alpha/beta hydrolase,,protein-coding,WP_003974811.1,alpha/beta hydrolase,286,SLIV_RS17595
NZ_CP009124.1,3910127,3910930,plus,two-component system response regulator GlnR,glnR,protein-coding,WP_003974812.1,two-component system response regulator GlnR,267,SLIV_RS17600
NZ_CP009124.1,3910973,3911995,plus,LacI family DNA-binding transcriptional regulator,,protein-coding,WP_003974813.1,LacI family DNA-binding transcriptional regulator,340,SLIV_RS17605
NZ_CP009124.1,3912122,3913159,plus,S1C family serine protease,,protein-coding,WP_186009689.1,S1C family serine protease,345,SLIV_RS17610
NZ_CP009124.1,3913248,3913994,plus,response regulator transcription factor,,protein-coding,WP_003974815.1,response regulator transcription factor,248,SLIV_RS17615
NZ_CP009124.1,3913991,3915436,plus,sensor histidine kinase,,protein-coding,WP_016326796.1,sensor histidine kinase,481,SLIV_RS17620
NZ_CP009124.1,3915411,3915812,minus,RidA family protein,,protein-coding,WP_011029470.1,RidA family protein,133,SLIV_RS17625
NZ_CP009124.1,3915919,3916302,plus,winged helix-turn-helix transcriptional regulator,,protein-coding,WP_011029469.1,winged helix-turn-helix transcriptional regulator,127,SLIV_RS17630
NZ_CP009124.1,3916448,3918286,minus,bifunctional metallophosphatase/5'-nucleotidase,,protein-coding,WP_003974817.1,bifunctional metallophosphatase/5'-nucleotidase,612,SLIV_RS17635
NZ_CP009124.1,3918495,3919424,plus,mycothiol synthase,mshD,protein-coding,WP_003974818.1,mycothiol synthase,309,SLIV_RS17640
NZ_CP009124.1,3919467,3920123,minus,hypothetical protein,,protein-coding,WP_016326794.1,hypothetical protein,218,SLIV_RS17645
NZ_CP009124.1,3920111,3921640,minus,hypothetical protein,,protein-coding,WP_003974820.1,hypothetical protein,509,SLIV_RS17650
NZ_CP009124.1,3921637,3922518,minus,ABC transporter ATP-binding protein,,protein-coding,WP_003974821.1,ABC transporter ATP-binding protein,293,SLIV_RS17655
NZ_CP009124.1,3922565,3923428,minus,hypothetical protein,,protein-coding,WP_003974822.1,hypothetical protein,287,SLIV_RS17660
NZ_CP009124.1,3923425,3923967,minus,RNA polymerase sigma factor,,protein-coding,WP_011029464.1,RNA polymerase sigma factor,180,SLIV_RS17665
NZ_CP009124.1,3924979,3927219,plus,RNA degradosome polyphosphate kinase,,protein-coding,WP_016326792.1,RNA degradosome polyphosphate kinase,746,SLIV_RS17670
NZ_CP009124.1,3927404,3928570,plus,CHAD domain-containing protein,,protein-coding,WP_003974825.1,CHAD domain-containing protein,388,SLIV_RS17675
NZ_CP009124.1,3928617,3929045,plus,NUDIX hydrolase,,protein-coding,WP_003974826.1,NUDIX hydrolase,142,SLIV_RS17680
NZ_CP009124.1,3929360,3930487,plus,phosphate ABC transporter substrate-binding protein PstS,pstS,protein-coding,WP_016326789.1,phosphate ABC transporter substrate-binding protein PstS,375,SLIV_RS17685
NZ_CP009124.1,3930657,3931667,plus,phosphate ABC transporter permease subunit PstC,pstC,protein-coding,WP_003974828.1,phosphate ABC transporter permease subunit PstC,336,SLIV_RS17690
NZ_CP009124.1,3931664,3932728,plus,phosphate ABC transporter permease PstA,pstA,protein-coding,WP_003974829.1,phosphate ABC transporter permease PstA,354,SLIV_RS17695
NZ_CP009124.1,3932782,3933558,plus,phosphate ABC transporter ATP-binding protein PstB,pstB,protein-coding,WP_003974830.1,phosphate ABC transporter ATP-binding protein PstB,258,SLIV_RS17700
NZ_CP009124.1,3933678,3934676,minus,low-affinity phosphate transporter PitH,pitH,protein-coding,WP_003974831.1,low-affinity phosphate transporter PitH,332,SLIV_RS17705
NZ_CP009124.1,3934684,3935304,minus,DUF47 domain-containing protein,,protein-coding,WP_003974832.1,DUF47 domain-containing protein,206,SLIV_RS17710
NZ_CP009124.1,3935512,3935913,plus,metal-sensitive transcriptional regulator,,protein-coding,WP_003974833.1,metal-sensitive transcriptional regulator,133,SLIV_RS17715
NZ_CP009124.1,3935899,3936063,minus,hypothetical protein,,protein-coding,WP_016326788.1,hypothetical protein,54,SLIV_RS40275
NZ_CP009124.1,3936141,3937040,minus,hypothetical protein,,protein-coding,WP_038534580.1,hypothetical protein,299,SLIV_RS17720
NZ_CP009124.1,3937716,3939299,plus,FAD-binding oxidoreductase,,protein-coding,WP_016326786.1,FAD-binding oxidoreductase,527,SLIV_RS17725
NZ_CP009124.1,3939303,3940019,minus,phosphatase PAP2 family protein,,protein-coding,WP_003974837.1,phosphatase PAP2 family protein,238,SLIV_RS17730
NZ_CP009124.1,3940225,3941247,minus,transglycosylase TgdA,tgdA,protein-coding,WP_016326784.1,transglycosylase TgdA,340,SLIV_RS17735
NZ_CP009124.1,3941630,3941938,plus,membrane protein,,protein-coding,WP_003974839.1,membrane protein,102,SLIV_RS17740
NZ_CP009124.1,3942106,3942906,plus,hypothetical protein,,protein-coding,WP_003974840.1,hypothetical protein,266,SLIV_RS17745
NZ_CP009124.1,3942896,3944227,plus,putative integral membrane protein,,protein-coding,WP_016326783.1,putative integral membrane protein,443,SLIV_RS17750
NZ_CP009124.1,3944242,3945783,plus,SCO6880 family protein,,protein-coding,WP_003974842.1,SCO6880 family protein,513,SLIV_RS17755
NZ_CP009124.1,3945796,3947211,plus,ATP-binding protein,,protein-coding,WP_003974843.1,ATP-binding protein,471,SLIV_RS17760
NZ_CP009124.1,3947285,3948772,plus,type IV secretory system conjugative DNA transfer family protein,,protein-coding,WP_003974844.1,type IV secretory system conjugative DNA transfer family protein,495,SLIV_RS17765
NZ_CP009124.1,3948836,3949396,minus,GNAT family N-acetyltransferase,,protein-coding,WP_231908926.1,GNAT family N-acetyltransferase,186,SLIV_RS17770
NZ_CP009124.1,3949491,3950765,plus,sensor histidine kinase,,protein-coding,WP_003974846.1,sensor histidine kinase,424,SLIV_RS17775
NZ_CP009124.1,3950762,3951430,plus,response regulator,,protein-coding,WP_011029450.1,response regulator,222,SLIV_RS17780
